SampleID,GSM475656,GSM475657,GSM475658,GSM475659,GSM475660,GSM475661,GSM475662,GSM475663,GSM475664,GSM475665,GSM475666,GSM475667,GSM475668,GSM475669,GSM475670,GSM475671,GSM475672,GSM475673,GSM475674,GSM475675,GSM475676,GSM475677,GSM475678,GSM475679,GSM475680,GSM475681,GSM475682,GSM475683,GSM475684,GSM475685,GSM475686,GSM475687,GSM475688,GSM475689,GSM475690,GSM475691,GSM475692,GSM475693,GSM475694,GSM475695,GSM475696,GSM475697,GSM475698,GSM475699,GSM475700,GSM475701,GSM475702,GSM475703,GSM475704,GSM475705,GSM475706,GSM475707,GSM475708,GSM475709,GSM475710,GSM475711,GSM475712,GSM475713,GSM475714,GSM475715,GSM475716,GSM475717,GSM475718,GSM475719,GSM475720,GSM475721,GSM475722,GSM475723,GSM475724,GSM475725,GSM475726,GSM475727,GSM475728,GSM475729,GSM475730,GSM475731,GSM475732,GSM475733,GSM475734,GSM475735,GSM475736,GSM475737,GSM475738,GSM475739,GSM475740,GSM475741,GSM475742,GSM475743,GSM475744,GSM475745,GSM475746,GSM475747,GSM475748,GSM475749,GSM475750,GSM475751,GSM475752,GSM475753,GSM475754,GSM475755,GSM475756,GSM475757,GSM475758,GSM475759,GSM475760,GSM475761,GSM475762,GSM475763,GSM475764,GSM475765,GSM475766,GSM475767,GSM475768,GSM475769,GSM475770,GSM475771,GSM475772,GSM475773,GSM475774,GSM475775,GSM475776,GSM475777,GSM475778,GSM475779,GSM475780,GSM475781,GSM475782,GSM475783,GSM475784,GSM475785,GSM475786,GSM475787,GSM475788,GSM475789,GSM475790,GSM475791,GSM475792,GSM475793,GSM475794,GSM475795,GSM475796,GSM475797,GSM475798,GSM475799,GSM475800,GSM475801,GSM475802,GSM475803,GSM475804,GSM475805,GSM475806,GSM475807,GSM475808,GSM475809,GSM475810,GSM475811
A1BG,0.188584305,-0.107274743,-0.368459843,-0.126421575,-0.027089482,-0.048663581,-0.466467574,-0.271145714,0.225146823,-0.300234592,0.31001082,-0.770705539,0.027825803,-0.474246167,0.422906815,-0.120453709,-0.135089233,-0.479419564,0.496199292,-0.00695048,0.60912019,0.267283594,-0.139976675,0.23281302,0.232645298,0.322771855,-0.124935489,-0.137027576,-0.18420073,0.458718132,0.368877482,-0.404868486,-0.418135608,0.520438489,0.067091508,1.51084965,-0.278216773,-0.155825112,-0.047513477,-0.164067246,0.514887553,-0.090218937,0.209352362,-0.189376033,-0.566500167,-0.171058449,-0.517017199,1.25107947,-0.35936095,-0.072848907,-0.579832994,0.030460777,0.82716844,-0.539846547,0.916587338,0.140749206,-0.125117674,0.015398392,0.004878177,0.081057344,0.098397531,1.355278264,-0.42732285,-0.613896585,-0.056690988,-0.246233497,0.070208043,-0.152984428,-0.10755815,-0.219920866,-0.153281628,-0.085892326,-0.232694963,-0.390770781,-0.686628286,-0.261859143,-0.074191534,1.081372404,-0.478323845,0.281935323,-0.206011554,0.530672935,-0.180937187,0.514420428,-0.370177299,-0.162347277,0.044128706,-0.218626767,-0.411468672,-0.082622177,0.189303139,0.5895694,-0.459010625,-0.265730702,0.12399529,-0.022719378,-0.291127102,0.083094387,-0.124231714,0.129355103,0.463822851,-0.268768525,-0.098407818,-0.291700894,0.126760302,0.205987054,0.119066489,-0.417904395,-0.25783343,-0.394342164,0.012048912,-0.559610348,0.101411956,0.507368258,-0.12590275,-0.040336582,0.220284616,0.059279344,-0.395718461,-0.346647648,0.724038793,-0.142750575,-0.366149748,0.230704523,-0.379869586,0.099074421,-0.255411042,-0.408557722,-0.171058449,0.314167656,-0.279564836,-0.45457982,-0.684668953,0.060203949,-0.317076571,0.007201043,0.213008582,0.350424014,0.569121126,0.326445443,0.45556115,-0.08263585,-0.011706144,-0.531757795,-0.52416742,0.249154035,-0.253899444,0.109890884,0.845846886,0.391371437,0.151690524,0.755526927,-0.269644767,-0.136579085,0.765570629,-0.154078423
A1BG-AS1,-0.247801524,-0.34767716,0.068107326,0.086302448,-0.020225977,-0.006208754,-0.398127148,-0.034357882,-0.081262755,-0.128208314,0.120493745,-0.271937737,0.101482777,-0.32103385,-0.120290361,0.146328695,0.180081027,0.059972344,0.137657904,0.202360249,0.73640134,0.181399348,-0.087151787,0.411501927,-0.004131709,-0.2634934,0.043732135,-0.140324595,-0.192135151,-0.102873878,0.098250409,-0.287546247,-0.104753108,0.13566705,0.154698624,0.048670215,-0.045312954,-0.02166022,0.264023665,-0.1287199,0.774170965,-0.088868711,-0.090464223,-0.175668582,-0.194896093,0.359122394,-0.285641547,-0.007871479,-0.118378539,-0.138529375,-0.339424986,0.003191232,0.447225732,-0.305432102,0.366250378,0.487500582,-0.223369396,-0.06799198,-0.143755988,0.181115763,-0.19246927,0.249463907,0.099010098,0.637222336,0.52098762,0.00599107,-0.416940543,-0.04356999,-0.161873217,-0.179143552,-0.362767571,0.181328305,0.569034896,0.025721196,-0.525540231,0.361585924,0.088426084,0.359704557,-0.451033893,0.220755191,-0.121692068,-0.011439748,0.238266148,0.093328474,-0.176158537,-0.164117682,-0.248991579,-0.486557504,-0.395166582,-0.344194367,-0.283863751,0.315162112,0.013515889,0.003608604,0.546783632,0.447962456,0.50275169,0.326448495,-0.174790673,-0.092397523,0.093980899,-0.181282415,0.302093203,-0.050417679,-0.165241958,-0.054845455,0.270407296,-0.171569876,0.226392136,-0.322294595,0.026639622,-0.068614349,0.397867333,0.105480217,-0.027524411,0.044544306,-0.099745339,-0.197129338,-0.258537316,-0.016434306,0.297358096,0.555363497,0.482078985,-0.129394865,-0.223280574,-0.312414104,-0.030202167,-0.121552435,0.164600625,0.39821058,0.345722004,-0.475124297,-0.688391132,0.291010199,-0.044645798,0.123828885,-0.095465718,-0.104343876,0.139412364,0.220806181,0.086301086,0.230570683,-0.309442643,-0.337715877,-0.49967891,-0.396000966,-0.321582122,-0.053994952,-0.219460311,0.02537722,-0.114219539,0.045756236,-0.216737457,-0.097258786,-0.105213929,-0.272924736
A1CF,-0.106682564,-0.124815894,-0.052524389,-0.415326088,-0.113228537,-0.242969946,-0.197577159,-0.299219671,-0.090917768,-0.194368274,0.140458501,-0.214179378,-0.336020611,-0.022067461,-0.037392584,-0.094468558,-0.042852838,-0.215170721,-0.284271465,-0.209745054,0.032124062,-0.269789709,-0.191683377,0.406635551,-0.19771766,-0.142670916,-0.01904722,-0.230179721,-0.213880587,-0.117260295,-0.231548224,3.659285522,0.125455176,0.451035143,-0.32520979,-0.33696718,-0.179444907,-0.286449149,-0.227582966,-0.155684919,0.160591805,-0.187109914,-0.245023665,-0.447280866,-0.320085604,-0.076796029,-0.209518709,-0.180452487,-0.076917318,-0.091448466,-0.225127883,-0.382582388,0.129146149,-0.078663112,-0.019357826,-0.307585994,-0.266102586,-0.33235603,-0.22198134,0.033329697,-0.368179243,-0.129684269,-0.158041385,0.051327143,0.264816871,-0.269127954,-0.114502001,-0.350230202,0.080001481,0.196220081,0.043316312,-0.129954963,-0.207613142,-0.244223447,-0.301427171,-0.137076548,-0.119892151,-0.030231245,-0.336078316,0.338447849,-0.242797652,-0.365937835,-0.227746923,3.034376618,-0.32662776,-0.27122378,-0.204370561,0.066938194,-0.129247843,-0.293548904,-0.134014455,-0.128953733,-0.321838796,-0.324319091,-0.169917909,-0.123418158,-0.41151704,-0.246730831,-0.346026004,-0.159759926,-0.253061509,0.014183217,-0.020401079,0.007931152,-0.155743377,-0.282276442,-0.220092923,-0.282763453,-0.312166288,-0.31068137,-0.252941961,-0.469412841,-0.282026136,-0.182262885,0.159719821,-0.241164411,-0.104678187,-0.294648179,-0.134737282,-0.272479008,6.318299925,0.150022801,0.08265237,-0.058756381,-0.170372564,-0.105543485,0.002981027,-0.186220354,-0.200783737,6.31438613,-0.172093745,-0.073644675,-0.217237321,-0.269529864,-0.195422946,0.215559721,-0.260338184,2.459347525,-0.188948505,-0.039283451,-0.259058227,-0.145952112,-0.279430704,-0.314623893,-0.264690303,-0.06305384,0.055141082,0.43432584,-0.130302583,0.291067266,-0.110838344,0.041710759,-0.307579784,-0.280286932,-0.077308206,-0.204760112
A2M,-0.731152876,0.427055544,0.284570678,0.643212655,0.568594923,-1.541955008,-0.143562015,0.478643046,-0.239992303,0.385831578,0.573792972,0.158118634,-0.229090264,0.497095213,-1.040030297,0.550410293,-0.160265754,0.459767375,-0.280020958,0.434011345,-1.156730535,0.537023657,0.64263626,-0.042688133,0.634696546,0.173857263,0.416809569,0.147310188,0.545575967,-0.086413825,0.633523955,0.157285302,0.484594752,-1.492622536,0.453629614,-0.154271414,-0.498958815,0.621985799,-0.223873096,0.357846926,0.014206427,0.401403814,-0.169066308,0.6493295,0.220630305,-0.517501799,0.475665677,-0.322975087,0.538939181,0.52703473,0.517700766,0.617345881,0.274462955,0.08340868,-0.056584535,0.248533351,-0.253864523,-0.40403919,0.660967945,-0.508001689,0.213943294,-0.664898229,0.355928616,-0.7818149,-1.344203955,0.541712627,-0.0954928,0.373203143,-1.30358958,0.239599855,0.656763523,-0.932289259,-1.280986833,0.151566899,-1.538465413,0.272493052,0.6824163,-0.715191211,0.54379881,-0.714801254,0.511735772,-0.54501437,0.642752345,-0.565894627,0.583005483,-0.273365696,0.590230593,0.518943259,-0.329273253,0.549786522,0.591798628,-0.197098373,-0.350667942,0.530099025,0.272145832,-0.535379349,0.238433212,-0.230756444,0.308531508,0.287045967,0.161023837,0.730821747,-1.645118119,-0.12506117,-0.123096445,-0.51226832,-0.516549419,-1.300016745,0.384186259,-0.888941842,0.562736282,0.469777335,0.142563378,0.030689067,-0.127910471,0.685187379,0.128175273,-0.301027961,-0.746064436,0.535731997,0.871784844,-0.160962566,0.050827178,0.018102835,0.741691125,0.076017961,-0.292887629,0.67041658,0.150349798,-0.774792997,0.508943714,-1.461473166,0.295052216,0.12028807,0.821411949,-1.272382124,-0.398944414,-0.285463319,0.149654911,0.368049818,0.145664103,0.039018134,0.09436342,-0.05611372,0.660555566,-0.322226126,-1.112218522,-0.214200549,-0.449987336,-0.590322127,-0.379871064,0.384626483,-1.038452743,0.388194768,-0.339481256,0.519645275
A2M-AS1,-0.344922026,1.087129042,0.969673826,1.141635521,-0.083951734,-1.171111712,-0.114914958,1.093185036,-0.478298864,-0.221440201,-0.441595205,0.852999599,-0.349031073,0.533466996,0.494371555,0.019279955,-0.47269082,0.887278975,-0.249186343,0.799699464,-1.286695933,0.550216354,0.134501236,-0.170589331,-0.129716536,0.258668133,0.09926121,-0.379235322,0.902393091,0.171381393,0.448524659,0.088713049,1.221152101,-0.580469218,-0.311861489,-0.322194272,-0.440158119,0.141076077,0.521389121,0.927041667,-0.083698559,0.729961115,-0.137272004,1.850979087,0.937117513,-0.687892475,0.740709957,-0.712549961,0.425677201,0.395108031,0.295046487,0.072900218,-0.71904181,-0.233810435,-0.000704,0.307751157,-0.173736481,-0.035374185,0.754320358,-0.590708804,0.190795439,-0.420938489,0.603575082,-1.232494094,-0.978932798,0.136930517,-0.336901765,1.17803395,-1.007404476,0.673237059,1.025779201,-0.292058794,-0.585840399,0.582276094,-1.16410331,0.475739666,1.065691032,-0.860075413,0.618875902,-0.756343953,0.313300957,-0.868055694,0.779392394,-0.657362326,-0.140343312,0.484538434,0.901046548,-0.080558242,-0.065181526,0.12948625,-0.034180518,-0.339069939,-0.188054664,0.988474772,0.222987901,-0.409176343,1.793540374,-0.308589846,1.971809866,0.271792826,-0.490017532,0.664449168,-0.353526231,-0.118846909,-0.370643242,-0.841381897,-0.412507785,-1.099238223,0.733023766,-1.149355088,0.277201341,1.073495878,-0.561615059,-0.698590759,-0.537271769,-0.315267983,-0.690268762,-0.531972485,-1.011376416,-0.179517997,0.006209578,0.272615133,-0.228001032,-0.460029038,0.346543922,0.487447192,-0.289860237,0.0153043,-0.428097169,-0.958307185,-0.65293119,0.877393741,0.119905905,-0.630608419,-0.515174188,-1.638618109,0.026787837,-0.418878535,-0.246848084,1.348869248,-0.834035937,-0.878609924,0.183213201,-0.511061888,0.338082777,0.065596837,0.779946405,-0.433518994,-0.300896476,-0.380553239,-0.377671537,-0.315754764,-0.612193506,0.896128046,-0.371300117,0.44806673
A2ML1,-0.206355042,-0.181457628,-0.053162626,-0.32242332,-0.192100986,-0.144540471,-0.357073495,-0.373975435,2.447444597,-0.045647871,0.104047904,-0.297263642,1.42434286,-0.310709274,0.099920022,-0.343000285,-0.241572436,-0.220978351,-0.080141886,-0.293109076,-0.084110138,-0.109993337,-0.301880468,-0.012876782,-0.291968353,-0.117125964,0.006939736,0.085474666,-0.310173075,-0.050107275,-0.156271182,0.212126198,-0.128229648,0.065872679,-0.292101957,-0.256302282,0.650765525,-0.09226852,1.980804097,-0.301071393,0.00102555,-0.285292668,-0.292860651,-0.389358508,-0.095319261,-0.147759518,-0.352404927,-0.146632135,-0.050358508,-0.136719235,-0.052288599,0.053663752,0.102323189,-0.18110885,-0.12599377,-0.164911656,-0.234473101,1.450824656,-0.231996246,0.11648499,-0.389319773,-0.25236605,-0.188283746,0.01963898,0.021943856,-0.285091398,-0.347792439,-0.347768865,-0.209759372,0.036548247,-0.138172354,-0.04181138,0.076899168,-0.319124893,2.982907889,-0.247180022,-0.280252805,-0.019452947,-0.188814643,1.362675624,-0.216085503,-0.056278839,-0.240499132,-0.20635704,-0.384519349,-0.189435304,-0.277197474,-0.170118557,0.910012972,-0.20112566,-0.233702479,-0.243191475,0.82059313,-0.242883752,-0.109654219,0.247710454,-0.087392789,-0.15039807,-0.296604917,-0.081292292,1.926345965,-0.066114609,0.469685428,0.46714648,-0.089101226,-0.267197024,1.856884586,-0.178540464,-0.232574615,-0.215550005,-0.165493157,-0.176915081,-0.073162982,-0.117508014,0.046656199,-0.243772291,-0.119467065,-0.116642028,-0.239604989,-0.261646721,-0.075996057,0.111289952,0.883995315,0.057679945,-0.328119776,-0.027283157,0.084639876,-0.131710905,-0.208573422,-0.121027948,-0.141422191,-0.194006944,-0.369472692,0.748152777,-0.143614826,-0.371355307,0.055818736,-0.179323582,-0.279421994,-0.115469664,-0.269178506,-0.092570911,-0.225131613,-0.154339463,-0.220862568,1.844875194,-0.203427887,-0.21422049,-0.045347023,-0.181961222,-0.186930086,0.118185053,-0.061740254,-0.296671999,-0.317366065,-0.242296291
A2MP1,0.424967804,-0.105625534,0.265846448,-0.15240857,-0.230497622,0.161494999,0.162241137,0.354798515,0.007993801,-0.114773469,0.379184748,-0.117348387,-0.051169223,-0.152295962,0.402917984,-0.241539808,-0.099812359,-0.16679926,-0.259647644,-0.175135646,-0.180714869,0.052613429,0.018171747,0.172183442,-0.082832534,0.342544239,-0.048974405,-0.307266581,0.435404707,0.074276199,-0.068331321,0.003062769,0.121797788,0.17798447,-0.251872355,-0.374185803,0.179400084,-0.073736608,0.126412657,-0.215555463,-0.16185402,-0.154505341,-0.395634672,0.006524681,-0.070940944,0.075567339,-0.25224817,-0.34934819,0.166365605,-0.023012628,0.129342789,-0.151648824,0.144344735,-0.278207001,-0.095819776,-0.145597608,-0.072928333,-0.210436483,-0.0068473,-0.184613192,-0.035906694,-0.022753695,-0.04120246,0.342553602,-0.098047665,-0.130496461,-0.004937186,-0.135797757,0.955511548,-0.13516983,0.237956422,-0.216623488,0.17210082,0.051025775,-0.492488326,0.000745,-0.087215473,0.199167275,0.090865901,0.057197368,0.04580002,-0.321761514,-0.126780362,-0.176169733,0.538804119,1.066686267,0.070428342,-0.01019297,0.012096425,-0.10105456,0.106406282,0.287152998,-0.404265137,0.072343224,-0.204416888,0.11549829,0.037025568,-0.323307299,0.12586798,0.118487687,0.126069507,0.396645359,-0.118781276,0.387324246,-0.427775858,-0.101501916,-0.167567483,-0.186298097,-0.110674352,-0.157126348,0.001877262,0.002158036,-0.084725065,0.103261482,0.187002189,-0.330792529,0.103261984,-0.045148415,0.379412529,-0.391910147,-0.131527703,0.639269512,0.016723629,-0.283695318,0.098541344,0.019491434,-0.107289798,-0.22081782,-0.266142288,-0.214473669,-0.339369958,0.009976029,0.096291207,0.03637082,0.121515053,-0.087596624,-0.103618134,0.378383804,-0.035596482,0.067373372,-0.056799532,0.096869115,-0.030655379,0.191492126,0.228830587,0.225262733,0.596718076,0.121690033,-0.163999039,-0.068033294,-0.187130843,-0.238549778,-0.372902152,0.430331113,-0.074862901,0.178123161
A4GALT,0.132980415,-0.540497642,-0.10681458,-0.421529588,-0.180939047,0.015849681,-0.618895722,-0.416062531,0.942097322,0.214821372,0.104008693,-0.431665396,0.315082656,-0.568581795,0.110220617,0.185262242,0.383749026,-0.074242395,0.167649416,0.115130852,0.490516483,-0.194509483,-0.1149082,0.28304788,0.230701435,-0.151245577,0.380172889,-0.349738748,-0.498804779,-0.319213806,0.179507013,-0.152867688,0.215935338,0.274213833,-0.027486473,0.176874385,-0.317240187,0.143376479,0.736962038,-0.342022716,0.066071042,0.405233628,-0.220698494,-0.396481363,-0.177405042,0.245966972,-0.234503738,0.025349688,0.12808485,-0.210366493,-0.404249734,0.047250408,0.934461839,-0.359049928,-0.022012771,-0.032079773,-0.453351976,-0.04620795,0.154400854,0.262947205,-0.093122877,-0.393487594,0.059216742,0.376956671,0.535928009,0.000237,-0.174185825,-0.37031029,0.248334184,0.120932508,-0.053261724,-0.528465848,0.883849878,-0.261910331,0.021395793,0.18895601,-0.016456437,0.79251357,-0.458552349,1.091537443,0.040223831,-0.451148368,0.114215281,-0.083359339,-0.599935397,-0.527436937,-0.184103552,0.264191661,0.39659562,-0.268348662,0.329598138,0.370817714,0.600749646,-0.078689173,0.47861471,1.045433817,-0.006380926,0.910404884,-0.163199323,-0.153444339,0.606987691,0.218200461,0.005537399,0.572057362,0.360947113,-0.096475196,-0.023514898,-0.012303097,-0.260993781,0.03688969,-0.128202816,-0.443307235,-0.035311617,0.146687176,0.279390488,0.247070862,0.035251456,-0.54805201,-0.391141244,-0.002687514,0.14655823,-0.733657092,0.5522592,0.131369375,-0.035250365,-0.063327209,1.039714591,0.305931733,0.438177833,-0.296182371,0.239618406,-0.039373542,-0.573911376,0.357892119,-0.051586703,0.372534039,-0.098843496,-0.028051546,0.259871085,0.501621187,-0.077495433,-0.006380926,-0.501056201,-0.783482365,-0.832127535,-0.076201677,-0.351067554,-0.72000302,-0.818944595,-1.053607673,0.089403433,0.111894607,-0.092052285,-0.354731816,-0.543021098,-0.655533285
A4GNT,0.22273748,0.148106908,0.087972666,-0.165944454,-0.024025691,-0.293935541,0.027419718,0.130280454,-0.040486815,-0.216378974,0.195756286,-0.16683134,0.087033033,-0.113656282,0.080632369,-0.087801087,-0.191177379,0.096241177,-0.337298935,-0.030890872,0.009626496,0.242538041,-0.161767325,-0.06094582,-0.106324238,-0.294396577,-0.031816341,-0.086066616,-0.051938254,0.078717333,0.118589759,-0.081013553,-0.038580696,0.167433587,0.076328551,0.391781279,0.032682052,-0.034660869,0.06907072,-0.175995055,0.157484674,0.062444471,-0.104196112,-0.01729033,0.05994036,-0.007362572,-0.250841732,-0.327964911,0.133476277,-0.117130488,-0.154560995,0.139303537,0.367465011,0.318709197,-0.064541303,-0.18519656,-0.138343606,-0.252022904,0.026481292,-0.115126148,0.126401396,-0.161814969,-0.065633696,0.240713464,0.189330252,-0.072949674,0.030697304,-0.009299302,-0.004747507,0.230206423,0.176644714,0.113007564,0.100564831,0.003846058,-0.277364157,-0.203159562,-0.235224403,0.108838089,0.369383589,0.606871053,-0.224324728,-0.113151576,-0.072647879,0.048786934,-0.011258579,0.147872788,0.191992886,0.200074738,-0.093921841,0.25607393,0.061283361,-0.128226923,-0.318735287,-0.159600695,0.274640299,-0.15823665,-0.240242533,-0.083147265,0.140886079,0.021592354,0.061998952,0.170774227,-0.005759468,-0.099265777,-0.181084716,0.053873205,0.197249895,0.248141323,-0.111717536,-0.057075045,-0.139547855,-0.32221049,-0.117404983,-0.040537144,0.091748911,-0.006026313,0.003656725,0.141845787,-0.107007709,-0.227976774,0.034880875,0.289035904,-0.067345,-0.108343508,-0.114572488,0.136842881,-0.248847227,0.019222158,0.129963912,-0.162693782,0.01458419,0.200298667,-0.171058052,-0.219784343,-0.105935862,0.012094514,0.138510588,0.026539367,-0.021055791,0.03389172,-0.099618135,0.259791798,0.033918193,-0.005176168,0.092737924,0.083079022,0.406991814,-0.093482741,-0.173518013,-0.074965671,-0.083991739,0.219286613,-0.144018362,-0.262060577,0.275800247,-0.011258579
AA06,-0.14228518,-0.097395636,-0.335949734,-0.109218273,-0.020122445,-0.001285569,-0.018598908,-0.231084352,0.24088333,0.107674366,0.250135026,-0.259338846,0.093738178,-0.066999957,0.08719043,-0.071230736,0.14935152,-0.068214752,0.044372677,0.077530296,0.012791418,0.142603388,0.154214216,0.341254373,-0.060255427,-0.051844279,-0.170477842,0.027031999,0.007582206,0.210346881,-0.060938149,-0.197506355,-0.595307786,0.199485632,0.080870837,0.103372381,-0.061506713,-0.223892094,0.584731617,0.009657395,0.322537338,-0.26541182,-0.217871739,-0.008064909,0.005719309,0.004177975,-0.157763194,-0.004428447,-0.047477252,-0.165446374,0.150823063,-0.248250508,0.625374653,-0.419611351,-0.128089284,-0.069053283,0.203158008,0.064370406,-0.333674525,0.120171523,0.297986839,0.040142986,0.010679033,0.40831139,0.25021273,-0.184435499,-0.053815216,-0.232140813,-0.174098976,0.301485542,-0.188436967,0.196883035,0.14509658,0.078197613,0.028518882,0.016098253,-0.561561857,0.943986116,0.013322803,0.279648169,-0.206796916,-0.077264039,-0.025137868,-0.131419771,0.021789147,0.174606081,-0.277475422,-0.299661961,-0.281842278,-0.213521502,0.008209563,-0.190803821,-0.322814911,-0.171657692,-0.249620336,0.065207975,0.227424391,0.224993387,-0.250862183,0.21747559,0.339049554,-0.494979502,-0.024394045,0.603168097,0.210184713,0.202025715,-0.060255427,-0.252112646,-0.142278434,-0.336346381,-0.002298351,-0.244565308,0.102026006,0.194524299,0.252114527,0.032840321,0.229264765,0.0796924,0.24754534,-0.216871915,0.021866382,0.329098743,0.353240576,-0.233914217,0.027129623,-0.010442316,0.032008093,-0.133961231,0.036711559,-0.300363862,0.324285175,-0.044859549,-0.171796407,-0.142662239,-0.281815929,-0.056468479,-0.015920822,0.1208121,0.255904008,0.362729334,-0.071581263,0.267988044,-0.274754053,-0.203345338,-0.098679092,-0.341040756,-0.155723115,0.213026967,-0.126566205,-0.015918013,-0.150602471,0.076836484,-0.056468479,-0.276846642,0.393556497,0.365893701
